"Model Type","Cross_Validated_Error","Hyperparameters"
"State_Model","12.3349553773536","0"
"Lin_Reg_1","2.12021786176506","0"
"Lin_Reg_2","2.2777166835165","0"
"Lasso_1","2.13208791758956","1e-04"
"Lasso_2","2.17659425115813","1e-04"
"Boosting_1","2.32333116703651","0.0651 471"
"Boosting_2","2.62133555126369","0.0501 698"
"NeuralNets_1","2.06792664608116","3"
"NeuralNets_2","2.08453038820035","3"
