"Rtn_Date","Target","Average","Variance","t_1","t_2","t_3","chg_v2","chg_v3","chg_v4","chg_v5","vol_cat_3","Cat","Estimate"
"2002-09-06",-0.0260076985623275,-0.004687,0.001549,0.041603136571553,-0.0477079444098736,0.0253083794130158,0.293490697727637,-0.112858640318094,-0.0720336025525975,-0.219121964847433,0,2,-0.0339355264482611
"2002-09-13",0.00188028886485191,0.007461,0.000791,0.0161187267818144,-0.0294359806736937,-0.024302028519783,0.0701537552141758,0.215237545271377,0.084020288417834,-0.0273591423466349,1,3,-0.0124192039480203
"2002-09-20",-0.0094369998874132,0.001145,0.000124,0.00550847457627124,-0.0115183246073298,0.00972721505603724,-0.404546957874493,0.0793827528748637,-0.126362984474425,-0.31600934780771,0,3,-0.0124192039480203
"2002-09-27",-0.0476845808616824,-0.006763,0.000575,-0.0205627705627707,-0.00666519056827308,0.0190621822962314,0.244910605394783,0.0621146588770498,-0.0277678716464115,-0.137873023615787,0,3,-0.0124192039480203
"2002-10-04",-0.0332540189431311,-0.008528,0.001073,-0.0229910714285713,-0.0177592633194475,-0.0134112048453384,-0.0177277157292168,-0.0164681329083247,0.0690704096876371,0.0446543006563832,1,3,-0.0124192039480203
"2002-10-11",0.110215019154356,0.015089,0.001197,0.0536868454641293,0.0543305271957024,-0.0222271606033714,0.0890040136434473,0.0390465341939839,-0.0607019829043727,-0.223723843150545,0,4,0.0151166313928628
"2002-10-18",0.0839544720601473,0.023535,0.001376,0.0468781169982273,0.00714144019043861,-0.0359533371581565,0.194907379535811,-0.477348600018401,0.397504542244445,-0.428553648306794,0,4,0.0151166313928628
"2002-10-25",-0.00888226554222681,0.006621,0.001077,0.0283037282842085,-0.0370300751879701,0.0296110326925114,0.270565244253293,0.156868064787433,-0.213838974046286,0.289351644695327,1,3,-0.0124192039480203
"2002-11-01",0.00605603667704161,0.005786,0.000264,-0.00879001276267022,0.00677842214272273,0.0199731131169578,0.00833509359853394,-0.108730648518785,-0.0416511383656322,-0.11722192025383,0,4,0.0151166313928628
"2002-11-08",0.0388577663091057,0.005347,0.000811,-0.0162470993125192,-0.0178853241411651,0.00617498235709246,0.142236315562706,0.565910805486054,-0.335757796320847,0.825821634215257,1,4,0.0151166313928628
"2002-11-15",0.0284481131953935,0.002182,0.000405,-0.00526415142080527,0.0294436777456646,0.0155935063508899,0.0103619592022039,0.370619247609686,-0.2418883451833,-0.283265314145452,0,4,0.0151166313928628
"2002-11-22",0.0266311796133118,0.003732,0.000403,0.00656988243430146,0.0215471925661319,0.0320816259569814,0.184569012313934,-0.0782275434081585,-0.00041865418379442,-0.239740639814459,0,4,0.0151166313928628
"2002-11-29",-0.0093184796932392,0.003217,0.000289,-0.00688708653970094,0.0207381363536683,-0.0228404258973037,0.943852357975557,0.243851441699673,-0.102947688578654,0.136709806277707,1,4,0.0151166313928628
"2002-12-06",-0.0390681228540256,-0.007596,9.1e-05,0.0023491507047344,-0.0212239122744958,-0.00299770763533769,-0.0451289378291117,0.225849628410861,-0.303182663424403,0.0902811277956255,1,2,-0.0339355264482611
"2002-12-13",-0.05502920052509,-0.008569,0.000409,-0.0308288362868316,-0.00896454445664097,0.0120348458446526,-0.153319621000101,0.252420259947142,-0.0788596569836181,0.00208064622423906,1,3,-0.0124192039480203
"2002-12-20",0.010233176280029,-0.003292,0.000522,-0.00131801920542274,-0.00784603055654887,-0.0152686166298749,-0.158787970041081,-0.241601420302685,-0.209850516828418,0.213736483295594,0,3,-0.0124192039480203
"2002-12-27",-0.00132059256395139,-0.001709,0.000102,-0.00786660423300245,-0.00798959494611673,-0.0033333333333333,-0.0895929726398576,-0.506124422477705,1.65410638529316,1.01429964916883,1,3,-0.0124192039480203
"2003-01-03",0.0153618229714955,7.7e-05,0.000413,0.00130301558812307,0.0390716054158606,-0.0199052132701422,0.206643767057688,-0.13153858548725,-0.175045697557758,-0.148439387250206,0,4,0.0151166313928628
"2003-01-10",0.0388344858750239,0.006881,0.000405,0.00197090120154453,0.0289454266613043,-0.0279569534050179,-0.087438099990846,0.0446220553973596,0.247055725923861,-0.26157327484494,1,4,0.0151166313928628
"2003-01-17",-0.0831172553065769,-0.013043,0.000903,-0.0702800025394761,-0.0163497778567621,-0.0122872033601121,-0.477976083553594,-0.267274581853486,-0.0908413923579314,0.121967147790667,0,3,-0.0124192039480203
"2003-01-24",-0.0317863505661126,-0.019495,0.001153,-0.0464804914491389,0.0250980000000001,-0.00642902760845399,-0.307222378599785,0.218189052718887,-0.00907208906472834,0.809162573468649,1,3,-0.0124192039480203
"2003-01-31",-0.0491312052798679,-0.015757,0.000557,-0.0161691950178608,-0.0334601883390102,0.0223269151986889,-0.177627589408039,0.216285415817946,-0.193974776393099,0.332988977518595,1,2,-0.0339355264482611
"2003-02-07",-0.0187159436145407,-0.005676,0.000345,-0.0177139611013901,0.00979552810902895,-0.00760777683854608,0.107754494202744,0.213174572690609,-0.190133766028178,-0.0210739015915988,1,3,-0.0124192039480203
"2003-02-14",0.03626025326545,0.003224,0.000371,0.0278782282239529,0.0118433252301173,0,-0.18672053282386,-0.030492861434891,0.181964013281881,-0.121133678166374,1,3,-0.0124192039480203
"2003-02-21",0.0196807914329709,0.010072,0.000479,0.020298260989986,-0.0158989801916437,-0.0172274846645627,-0.104761033679723,-0.0784817239455216,0.224140614506201,0.575295869582256,1,3,-0.0124192039480203
