"Rtn_Date","Target","Average","Variance","t_1","t_2","t_3","v_1","v_2","v_3","v_4","v_5","Cat","Estimate"
"2002-09-06",-0.0260076985623275,-0.004687,0.001549,0.041603136571553,-0.0477079444098736,0.0253083794130158,69918400,90438800,80232000,74452600,58138400,2,-0.0339355264482611
"2002-09-13",0.00188028886485191,0.007461,0.000791,0.0161187267818144,-0.0294359806736937,-0.024302028519783,59549200,63726800,77443200,83950000,81653200,3,-0.0124192039480203
"2002-09-20",-0.0094369998874132,0.001145,0.000124,0.00550847457627124,-0.0115183246073298,0.00972721505603724,130619200,77777600,83951800,73343400,50166200,3,-0.0124192039480203
"2002-09-27",-0.0476845808616824,-0.006763,0.000575,-0.0205627705627707,-0.00666519056827308,0.0190621822962314,81011600,100852200,107116600,104142200,89783800,3,-0.0124192039480203
"2002-10-04",-0.0332540189431311,-0.008528,0.001073,-0.0229910714285713,-0.0177592633194475,-0.0134112048453384,107120400,105221400,103488600,110636600,115577000,3,-0.0124192039480203
"2002-10-11",0.110215019154356,0.015089,0.001197,0.0536868454641293,0.0543305271957024,-0.0222271606033714,108828800,118515000,123142600,115667600,89790000,4,0.0151166313928628
"2002-10-18",0.0839544720601473,0.023535,0.001376,0.0468781169982273,0.00714144019043861,-0.0359533371581565,152817200,182602400,95437400,133374200,76216200,4,0.0151166313928628
"2002-10-25",-0.00888226554222681,0.006621,0.001077,0.0283037282842085,-0.0370300751879701,0.0296110326925114,75425800,95833400,110866600,87159000,112378600,3,-0.0124192039480203
"2002-11-01",0.00605603667704161,0.005786,0.000264,-0.00879001276267022,0.00677842214272273,0.0199731131169578,105097800,105973800,94451200,90517200,79906600,4,0.0151166313928628
"2002-11-08",0.0388577663091057,0.005347,0.000811,-0.0162470993125192,-0.0178853241411651,0.00617498235709246,64522200,73699600,115407000,76658200,139964200,4,0.0151166313928628
"2002-11-15",0.0284481131953935,0.002182,0.000405,-0.00526415142080527,0.0294436777456646,0.0155935063508899,77533600,78337000,107370200,81398600,58341200,4,0.0151166313928628
"2002-11-22",0.0266311796133118,0.003732,0.000403,0.00656988243430146,0.0215471925661319,0.0320816259569814,70002000,82922200,76435400,76403400,58086400,4,0.0151166313928628
"2002-11-29",-0.0093184796932392,0.003217,0.000289,-0.00688708653970094,0.0207381363536683,-0.0228404258973037,28393000,55191800,68650400,61583000,70002000,4,0.0151166313928628
"2002-12-06",-0.0390681228540256,-0.007596,9.1e-05,0.0023491507047344,-0.0212239122744958,-0.00299770763533769,71670200,68435800,83892000,58457400,63735000,2,-0.0339355264482611
"2002-12-13",-0.05502920052509,-0.008569,0.000409,-0.0308288362868316,-0.00896454445664097,0.0120348458446526,65245400,55242000,69186200,63730200,63862800,3,-0.0124192039480203
"2002-12-20",0.010233176280029,-0.003292,0.000522,-0.00131801920542274,-0.00784603055654887,-0.0152686166298749,98294600,82686600,62709400,49549800,60140400,3,-0.0124192039480203
"2002-12-27",-0.00132059256395139,-0.001709,0.000102,-0.00786660423300245,-0.00798959494611673,-0.0033333333333333,40891600,37228000,18386000,48798400,98294600,3,-0.0124192039480203
"2003-01-03",0.0153618229714955,7.7e-05,0.000413,0.00130301558812307,0.0390716054158606,-0.0199052132701422,55546800,67025200,58208800,48019600,40891600,4,0.0151166313928628
"2003-01-10",0.0388344858750239,0.006881,0.000405,0.00197090120154453,0.0289454266613043,-0.0279569534050179,67730200,61808000,64566000,80517400,59456200,4,0.0151166313928628
"2003-01-17",-0.0831172553065769,-0.013043,0.000903,-0.0702800025394761,-0.0163497778567621,-0.0122872033601121,155876000,81371000,59622600,54206400,60817800,3,-0.0124192039480203
"2003-01-24",-0.0317863505661126,-0.019495,0.001153,-0.0464804914491389,0.0250980000000001,-0.00642902760845399,103027000,71374800,86948000,86159200,155876000,3,-0.0124192039480203
"2003-01-31",-0.0491312052798679,-0.015757,0.000557,-0.0161691950178608,-0.0334601883390102,0.0223269151986889,106858400,87877400,106884000,86151200,114838600,2,-0.0339355264482611
"2003-02-07",-0.0187159436145407,-0.005676,0.000345,-0.0177139611013901,0.00979552810902895,-0.00760777683854608,75208000,83312000,101072000,81854800,80129800,3,-0.0124192039480203
"2003-02-14",0.03626025326545,0.003224,0.000371,0.0278782282239529,0.0118433252301173,0,90446400,73558200,71315200,84292000,74081400,3,-0.0124192039480203
"2003-02-21",0.0196807914329709,0.010072,0.000479,0.020298260989986,-0.0158989801916437,-0.0172274846645627,56853200,50897200,46902700,57415500,90446400,3,-0.0124192039480203
"2003-02-28",-0.0384900811963752,-0.002935,0.000301,0.00508910093299408,-0.00127069033160998,-0.0239768489468024,56585400,75434300,57096000,68113000,62403700,3,-0.0124192039480203
"2003-03-07",-0.00592477399661407,-6.3e-05,0.000187,0.0124623549634724,-0.00725260207966716,0.0160381881231035,66167600,54607600,55415900,56605700,50653500,3,-0.0124192039480203
"2003-03-14",0.0537098099692623,0.01139,0.000763,0.00770170247263868,0.0547242862216455,0.0258771941174207,75451400,80701300,72379500,53990700,48413600,5,0.039667916999274
"2003-03-21",0.0665226334638964,0.012545,0.000251,0.0121904761904763,-0.00265957446808507,0.010752649356657,85586800,71798500,73652100,78108800,100983800,5,0.039667916999274
"2003-03-28",-0.0741948292304568,-0.010097,0.000459,-0.0147763971734665,-0.00831679207920788,-0.00941545704197722,39584600,60043300,51673600,63595100,61105200,3,-0.0124192039480203
"2003-04-04",0.0168814298370655,0.00069,0.000876,-0.0248736883015935,0.000388841383702987,0.056262792607803,55740600,57394300,68282500,49803200,71384000,4,0.0151166313928628
"2003-04-11",-0.036116685893377,-0.009988,0.000421,-0.0158600650671005,0.000814000814000737,-0.0394839718530101,71565500,51608900,76875800,54132100,65627100,3,-0.0124192039480203
"2003-04-17",0.0523257776794265,0.006319,0.00026,0.023274478330658,0.0130081300813008,-0.00646203554119551,58356600,86178700,63399000,51599600,71565500,4,0.0151166313928628
"2003-04-25",-0.0110411612786783,0.002105,0.000263,-0.0105924284032953,-0.00894241869916101,-0.00155283385093163,53657400,51703600,55559300,58844000,41557800,4,0.0151166313928628
"2003-05-02",0.0342980234429456,0.004014,0.000156,0.0147745340114516,0.00586621040281576,-0.00891469026801128,52695400,42085800,55566800,65877300,56287600,4,0.0151166313928628
"2003-05-09",0.00991243324192512,0.004226,0.000293,0.0240870629370631,-0.00961908426317815,-0.0144103521270249,58913600,46401400,49120000,54299500,50391500,3,-0.0124192039480203
"2003-05-16",-0.0304279582674776,-0.001022,0.000199,-0.00853047659827544,0.00663544080267608,-0.0142362062331666,60620900,45450200,45021000,44501900,53900800,3,-0.0124192039480203
"2003-05-23",-0.0542410924663415,-0.010321,0.000219,0.0024834023178808,0.00540986244653086,-0.0243604557190604,76968000,93157100,108960900,52677600,55336300,1,-0.0565495335371696
"2003-05-30",0.0159742082000985,0.004049,0.00016,0.0086065983606558,-0.000409668168783295,-0.0153288013179185,85096700,75451300,91467000,68486800,76968000,3,-0.0124192039480203
"2003-06-06",-0.0389444815109597,-0.004939,0.000262,-0.0174346201743462,-0.0313631270059056,-0.000401848890749679,119629400,115877900,83484600,61058200,66310800,2,-0.0339355264482611
"2003-06-13",0.0405684769628064,0.004004,0.000405,-0.0136054421768708,0.00442126223558126,0.00810368719611021,55157500,66177700,75768600,80655300,73610000,4,0.0151166313928628
