"Rtn_Date","Target","Week_date","Average","Variance","t_1","t_2","t_3","v_1","v_2","v_3","v_4","v_5","RSI_1","RSI_2","MACD_1","MACD_2","Avg_RSI_1","Avg_RSI_2"
2002-09-13,0.00188205771643646,2002-09-06,-0.004687,0.001549,0.041603136571553,-0.0477079444098736,0.0253083794130158,69918400,90438800,80232000,74452600,58138400,44.1790943475671,46.4819559050939,-1.65871958340185,0.25588867400328,33.3862973468562,43.8370772743481
2002-09-20,-0.00939261114589851,2002-09-13,0.007461,0.000791,0.0161187267818144,-0.0294359806736937,-0.024302028519783,59549200,63726800,77443200,83950000,81653200,45.6193354973778,47.1768653163179,-0.687393186892116,-0.13315027282903,47.623605475018,48.1883560224268
2002-09-27,-0.0465655288664139,2002-09-20,0.001145,0.000124,0.00550847457627124,-0.0115183246073298,0.00972721505603724,130619200,77777600,83951800,73343400,50166200,44.4799592420701,46.2697173645245,-0.588791576183079,-0.627328881477418,42.5952518529902,45.9655122601611
2002-10-04,-0.0327071823204419,2002-09-27,-0.006763,0.000575,-0.0205627705627707,-0.00666519056827308,0.0190621822962314,81011600,100852200,107116600,104142200,89783800,31.5475291784236,40.6240187443229,-1.15167841697927,-1.54912694571807,37.4000565134404,42.5476177715759
2002-10-11,0.116518117432031,2002-10-04,-0.008528,0.001073,-0.0229910714285713,-0.0177592633194475,-0.0134112048453384,107120400,105221400,103488600,110636600,115577000,31.9843713561628,39.1749566974394,-1.3087679907729,-2.12801784489989,42.8569496556652,43.0866232309411
2002-10-18,0.0875793774331646,2002-10-11,0.015089,0.001197,0.0536868454641293,0.0543305271957024,-0.0222271606033714,108828800,118515000,123142600,115667600,89790000,75.3636173023285,57.801164339583,1.09928900323504,-1.08227319233548,56.5842394264055,48.4664060695366
2002-10-25,-0.00884293475661579,2002-10-18,0.023535,0.001376,0.0468781169982273,0.00714144019043861,-0.0359533371581565,152817200,182602400,95437400,133374200,76216200,77.5071583931552,65.087385698962,3.22859924893677,2.21564161080527,74.3216125043937,62.5005239172872
2002-11-01,0.006074411541382,2002-10-25,0.006621,0.001077,0.0283037282842085,-0.0370300751879701,0.0296110326925114,75425800,95833400,110866600,87159000,112378600,60.946533950391,59.8582126742203,1.74664495310719,3.10294871428853,60.919872828483,59.8170712939102
2002-11-08,0.039622603773585,2002-11-01,0.005786,0.000264,-0.00879001276267022,0.00677842214272273,0.0199731131169578,105097800,105973800,94451200,90517200,79906600,59.218058090188,59.3735901338966,1.13680327498946,3.07649853470908,61.2652789685151,59.6872877723804
2002-11-15,0.0288566253668467,2002-11-08,0.005347,0.000811,-0.0162470993125192,-0.0178853241411651,0.00617498235709246,64522200,73699600,115407000,76658200,139964200,53.246722583144,60.315072058208,1.5539311979309,3.93121938939389,70.4932003670633,65.220120249421
2002-11-22,0.0269889584402525,2002-11-15,0.002182,0.000405,-0.00526415142080527,0.0294436777456646,0.0155935063508899,77533600,78337000,107370200,81398600,58341200,66.087804278862,62.7851030856532,1.12128833959444,3.37696810904702,60.8147752460571,61.0405810543988
2002-11-29,-0.00927519720799741,2002-11-22,0.003732,0.000403,0.00656988243430146,0.0215471925661319,0.0320816259569814,70002000,82922200,76435400,76403400,58086400,71.8650158965062,64.4220858951521,1.27338834339115,3.15896112007867,61.1115164076432,60.8082612965175
2002-12-06,-0.0383148058252427,2002-11-29,0.003217,0.000289,-0.00688708653970094,0.0207381363536683,-0.0228404258973037,28393000,55191800,68650400,61583000,70002000,56.7482579818867,59.9361564809741,0.824190815807269,2.91404862347027,60.4489210467377,61.1068313815474
2002-12-13,-0.0535424895063101,2002-12-06,-0.007596,9.1e-05,0.0023491507047344,-0.0212239122744958,-0.00299770763533769,71670200,68435800,83892000,58457400,63735000,29.649519375955,49.7318959174038,-0.609046881055242,1.5815400835107,34.3102263385715,52.1748950017219
2002-12-20,0.0102857142857142,2002-12-13,-0.008569,0.000409,-0.0308288362868316,-0.00896454445664097,0.0120348458446526,65245400,55242000,69186200,63730200,63862800,21.2220931349824,39.2832910151438,-1.5005159564095,-0.190733595055903,30.1057535616612,44.0994117830412
2002-12-27,-0.00131972096530919,2002-12-20,-0.003292,0.000522,-0.00131801920542274,-0.00784603055654887,-0.0152686166298749,98294600,82686600,62709400,49549800,60140400,34.1889681534605,42.7632947065457,-0.937267284030474,-0.777755500554966,38.9774575005481,44.520329719335
2003-01-03,0.0154804222963782,2002-12-27,-0.001709,0.000102,-0.00786660423300245,-0.00798959494611673,-0.0033333333333333,40891600,37228000,18386000,48798400,98294600,35.0305333515784,42.9916806407987,-0.555562290693523,-0.871854058696842,44.2359502937041,45.536754168802
2003-01-10,0.0395984011898123,2003-01-03,7.7e-05,0.000413,0.00130301558812307,0.0390716054158606,-0.0199052132701422,55546800,67025200,58208800,48019600,40891600,57.921255384362,49.0785342204045,-0.173595741214905,-0.911645101787451,41.8426270862483,44.3599999454106
2003-01-17,-0.0797567625091832,2003-01-10,0.006881,0.000405,0.00197090120154453,0.0289454266613043,-0.0279569534050179,67730200,61808000,64566000,80517400,59456200,66.5905859556412,56.9706569446646,1.00847728975084,0.281120009285374,65.1792340933059,55.4752413981767
2003-01-24,-0.031286474931986,2003-01-17,-0.013043,0.000903,-0.0702800025394761,-0.0163497778567621,-0.0122872033601121,155876000,81371000,59622600,54206400,60817800,20.8375622831196,38.0999883221004,-0.635784202937173,0.208565261479299,50.8625126030947,52.0938031626906
