"","Rtn_date","AAPL_Rtn","IBM_Rtn","AAPL_mean","IBM_mean","AAPL_var","IBM_var","covariance","We_A","We_B","return"
"1",2020-01-10,4.33715373263366,1.7492973574303,0.722526040363717,0.106508698466384,21.3092949387995,9.66699760753032,5.79427439453643,0.232933866913004,0.767066133086996,2.35209674992189
"2",2020-01-17,2.70680382973494,1.18516056499876,0.726506907866217,0.108317937077578,21.3001900314798,9.65931159294798,5.79442572337955,0.229188920568535,0.770811079431465,1.53390434233402
"3",2020-01-24,-0.131777988951975,1.62678044431754,0.728685452334719,0.109502582432827,21.2810458373194,9.64994926120321,5.79039014680299,0.226907791537312,0.773092208462688,1.22774983393504
"4",2020-01-31,-2.76459681146802,2.25526326487284,0.727739888113525,0.11116992074259,21.258447969193,9.64186307092098,5.78258539697508,0.225165166330406,0.774834833669594,1.12496563582819
"6",2020-02-14,1.53735962253541,-1.76651256719867,0.726839495147136,0.120783713772093,21.2329967879702,9.6738085521473,5.7811011751451,0.213208569572154,0.786791430427846,-1.06209870357625
"7",2020-02-21,-3.66210911233942,-0.570670880637103,0.727727249941646,0.118716576553067,21.2104345363757,9.66710260631356,5.77308679209587,0.215568345816441,0.784431654183559,-1.23708710643888
"8",2020-02-28,-12.6784876286275,-13.1406850811715,0.722924365519019,0.117962323317629,21.2082868308714,9.65703429578465,5.77007463468831,0.218257787219014,0.781742212780986,-13.039806887921
"9",2020-03-06,5.73237376250357,-1.85938617868856,0.708278013612848,0.1034719982854,21.3813648120638,9.83859072312644,5.95795245843263,0.242272725470939,0.757727274529061,-0.0201098066148431
"10",2020-03-13,-3.82659239525307,-15.4857946726894,0.71376283429941,0.101329140013595,21.3855534645421,9.83204429184,5.94067510984694,0.242754213841511,0.757245786158489,-12.6554741898112
"11",2020-03-20,-17.530667338202,-11.6350146818438,0.708811519981468,0.0843311860193713,21.3846875163108,10.0862598325029,6.01136640597961,0.265290682461562,0.734709317538438,-13.1990763986054
"12",2020-03-27,8.07014468556719,13.250865009444,0.688942806628327,0.0715650140500214,21.7237622235351,10.2248718243823,6.23765925926087,0.289020739156805,0.710979260843195,11.7535293920725
"13",2020-04-03,-2.5550980454493,-1.56438305622867,0.696974582339904,0.0859059280820061,21.7593821525069,10.4027368280162,6.33671760506506,0.268536228743847,0.731463771256153,-1.83042592319398
"14",2020-04-09,11.0103092496531,14.2561637862014,0.693439720787959,0.0841121357077554,21.7472005405346,10.3943774772305,6.33565591680138,0.272247422165221,0.727752577834779,13.3724882559028
"15",2020-04-17,5.52632428154258,-1.1358,0.704641533522883,0.099499813938476,21.8391299195505,10.6011542115092,6.48752200294162,0.248702380270332,0.751297619729668,0.521086166476419
"16",2020-04-24,0.0601174000049998,3.82950206886026,0.709871124355877,0.0981600093680438,21.840632937113,10.5912987895314,6.474017892527,0.248221729034589,0.751778270965411,2.89385888896053
"17",2020-05-01,2.15570837898009,-2.28511704389739,0.709167165824619,0.102202633484503,21.8174020147329,10.5948958940455,6.464369471071,0.243502476076605,0.756497523923395,-1.20376505760279
"18",2020-05-08,7.28543100880947,0.919007936678229,0.710732686618077,0.0996189541799775,21.7960291164406,10.5895852020407,6.45362842191089,0.246077019444584,0.753922980555416,2.48563835079152
"19",2020-05-15,-0.780321790470806,-4.88657215849374,0.717840468588014,0.100504780107003,21.8191718625328,10.5788504480002,6.45246801380299,0.242161959339883,0.757838040660117,-3.89219452383319
"20",2020-05-22,3.63329897977445,1.205330794871,0.716222582779095,0.0951191678622934,21.7980074240858,10.5942723155471,6.45356089371394,0.24936400029044,0.75063599970956,1.81077865403644
"22",2020-06-05,4.26495434025345,5.73258277449828,0.718273166503721,0.102138424623053,21.7612629655176,10.604194461686,6.4372049663841,0.239982531946858,0.760017468053142,5.38037758689101
"23",2020-06-12,2.20210799396681,-7.68589592133722,0.72209090727202,0.108199182803759,21.7513536380105,10.6268922896533,6.45176390003951,0.230986689581238,0.769013310418762,-5.40189863037482
"24",2020-06-19,3.22314415194136,0.459352786174949,0.723682323494273,0.0998184353799513,21.7302952328606,10.6807735661445,6.43241540253671,0.240728093869938,0.759271906130062,1.12467501351009
"26",2020-07-02,2.96354378346244,2.14181667135733,0.726787278360901,0.0954712860953594,21.6904813236569,10.6788484423254,6.41770740693407,0.244772373578085,0.755227626421915,2.34295276702077
"27",2020-07-10,5.37475182224063,-1.12781874171642,0.729184659395308,0.0976645823282232,21.6725706326503,10.6718786920591,6.41572732439718,0.241220229100641,0.758779770899359,0.440732819464383
"28",2020-07-17,0.42483424572215,5.71187419876424,0.734158500040752,0.0963525016814945,21.6724480359955,10.662048384184,6.40275551619308,0.240900052231808,0.759099947768192,4.43822599792475
"29",2020-07-24,-3.85404068260924,0.543521696558869,0.733827671961267,0.102358407239872,21.6493464633244,10.6843592077956,6.39404254530925,0.23380645901312,0.76619354098688,-0.48465679160374
"32",2020-08-14,3.41545541459001,0.248077786876433,0.747947229981023,0.101946724775416,21.8271285257847,10.6588766077667,6.3423391488501,0.229184457336396,0.770815542663604,0.973991509663408
"33",2020-08-21,8.23488624994115,-1.68435623096567,0.750788026769744,0.102102348909709,21.8114365146338,10.6475359413893,6.33599272190626,0.227995863232551,0.772004136767449,0.577190021081679
"34",2020-08-28,0.351772927110083,1.55082489279554,0.758749833390139,0.100201861058777,21.8477950905195,10.639591855312,6.31502168807498,0.227467314812183,0.772532685187817,1.2780797618408
